"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S0862","SAI GURUKUL ACADEMY, NAMCHEYPONG","Available","500","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1073","SAINT GYANDIL ACADEMY, GELLING-SAMSING","Not Available","0","Available","0","Not Available","Not Available","0","Available","Not Available"
"S1000","SAINT PAUL S ACADEMY, UPPER PAYONG","Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1180","SAIPATRI SISHU MANDIR(JHS), TARKU","Not Available","0","Available","1","Not Available","Available","1","Available","Not Available"
"S0142","SAJONG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0196","SAJONG TIMPEM GOVERNMENT PRIMARY SCHOOL","Available","15","Available","2","Available","Available","1","Not Available","Not Available"
"S0137","SAKHU KHANI GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0512","SAKYONG CHISOPANI GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0269","SAKYONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0156","SAKYONG NAMGAYTHANG JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0534","SALANGDANG GOVERNMENT PRIMARY SCHOOL","Available","15","Available","2","Available","Available","1","Not Available","Available"
"S0653","SALGHARI GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0275","SALLEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0430","SALLEYBONG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Available"
"S1021","SALPLIGLOSSIS ENGLISH SCHOOL, NAZOR BERFOK","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0489","SAMALINGDUM GOVERNMENT JUNIOR HIGH SCHOOL","Available","150","Available","3","Available","Available","1","Not Available","Not Available"
"S0752","SAMDONG GOVERNMENT JUNIOR HIGH SCHOOL","Available","692","Available","5","Available","Available","1","Not Available","Not Available"
"S0476","SAMDONG GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","2","Available","Available"
"S0503","SAMDUR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0505","SAMLIK MARCHAK GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0561","SAMROK GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
