"EstablishmentCode","EstablishmentName","IsLibraryAvailable","AvailableBooksCount","IsFireExtgAvailable","ExtinguisherCount","HOIRoomAvailable","IsStaffRoomAvailable","NoofStaffRoom","IsLockerForStaffAvailable","IsSportsStoreRoomAvailable"
"S1034","(I.E.C) INDIAN EVANGALISTIC CRUSADE MISSION PRIMARY SCHOOL, RIMBI","Not Available","0","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0516","10TH MILE GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0237","4TH MILE GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0692","AAPGAZI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0374","AARUBOTEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0218","ADAMPOOL GOVERNMENT JUNIOR HIGH SCHOOL","Available","217","Available","5","Available","Available","1","Available","Not Available"
"S1064","ADONAI HOMES , NAYA BAZAR","Available","0","Available","0","Not Available","Available","2","Not Available","Available"
"C1348","ADVANCED TECHNICAL TRAINING CENTRE","Available","0","Available","0","Available","Available","0","Available","Available"
"S0178","AGRIGAON GOVERNMENT PRIMARY SCHOOL","Available","60","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0364","AGRINAYA BUSTY GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0122","AHO-KISHAN GOVERNMENT SECONDARY SCHOOL","Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0097","AHO-SHANTI GOVERNMENT SECONDARY SCHOOL","Available","1200","Available","6","Available","Available","1","Not Available","Available"
"S0108","AHO-YANGTAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0415","AIFALTAR GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0596","ALLEYDARA GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0646","AMALAY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Available"
"S0094","AMBA GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S1160","AMBIKA DAHAL MEMORIAL SCHOOL, LUING BUSTY","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S0529","AMBOTEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0557","ANDEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S1164","ANGELS ENGLISH SCHOOL, TURUK","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0682","ANITHANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0146","ANKUCHEN GOVERNMENT PRIMARY SCHOOL","Available","300","Available","2","Not Available","Available","1","Not Available","Not Available"
"S1228","ANNES HOUSE ENGLISH SCHOOL, PELLING","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0939","ANNES HOUSE NURSERY SCHOOL, BALUWAKHANI, GANGTOK (SIKKIM)","Not Available","0","Available","2","Available","Available","1","Not Available","Available"
"S1095","ANNES HOUSE NURSERY SCHOOL, GYALSHING","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S1080","ANNES HOUSE NURSERY SCHOOL, LEGSHIP BAZAR","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Available"
"S1146","ANNES HOUSE NURSERY SCHOOL, UPPER SICHEY","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0863","ANNIES HOME SCHOOL, PAKYONG","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Available"
"S0903","ANSHU ACADEMY, DIPUDARA","Not Available","0","Not Available","0","Not Available","Available","3","Not Available","Not Available"
"S1254","ANUGRAH PRIMARY SCHOOL, MANPUR","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0129","ARITAR GOVERNMENT SECONDARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S1198","AROMA ACADEMY, KAMRANG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"U1490","ARTS COLLEGE, MANGSHILLA, NORTH SIKKIM","Not Available","0","Available","1","Available","Available","1","Not Available","Available"
"C1491","ARTS COLLEGE, MANGSHILLA, NORTH SIKKIM","Not Available","0","Available","1","Available","Available","1","Not Available","Available"
"S0494","ASSAM LINGZEY GOVERNMENT SENIOR SECONDARY SCHOOL","Available","1400","Available","9","Available","Available","2","Available","Available"
"S0432","ASSANGTHANG GOVERNMENT SECONDARY SCHOOL","Available","641","Available","4","Available","Available","1","Not Available","Not Available"
"S0693","BADAMTAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0187","BADONG THANGSING GOVERNMENT PRIMARY SCHOOL","Available","13","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0866","BAHA I SCHOOL, LINKEY","Not Available","0","Available","1","Available","Available","1","Not Available","Available"
"S0941","BAHAI SECONDARY SCHOOL, TADONG","Available","6000","Available","5","Available","Available","1","Available","Available"
"S0954","BAHAI SEN. SEC. SCHOOL, SARAMSA","Available","1300","Available","5","Not Available","Available","1","Available","Available"
"S0300","BAJEK GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0067","BAKCHA GOVERNMENT PRIMARY SCHOOL","Available","6","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0422","BAKHIM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","0","Available","Not Available","0","Not Available","Not Available"
"S1217","BAL JYOTI ACADEMY, TIMBURBONG","Available","0","Available","0","Not Available","Available","1","Available","Available"
"S1059","BAL JYOTI VIDHYAPITH, KHANDU","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0152","BANDAY GOVERNMENT PRIMARY SCHOOL","Available","30","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0552","BANSBOTEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1123","BAPTIST ENGLISH SCHOOL, BASILAKHA","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1139","BAPTIST ENGLISH SCHOOL, NANDUGOAN","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0879","BAPTIST ENGLISH SCHOOL, NIMTAR","Available","50","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0278","BARAKHELEY DARA GOVERNMENT PRIMARY SCHOOL","Available","30","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0497","BARAPATHING GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0310","BARASAMSING GOVERNMENT PRIMARY SCHOOL","Available","31","Available","2","Available","Available","1","Not Available","Not Available"
"S0227","BARBING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0032","BARFOK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0519","BARFUNG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0253","BARIAKHOP GOVERNMENT SENIOR SECONDARY SCHOOL","Available","1010","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0090","BASILAKHA GOVERNMENT PRIMARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0773","BEELING GOVERNMENT PRIMARY SCHOOL","Available","40","Available","2","Available","Available","1","Not Available","Not Available"
"S0324","BEGHA GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0389","BEN GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Available"
"S0436","BEN KABEY GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","7","Not Available","Available","1","Not Available","Not Available"
"S0757","BEN KATUJA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0442","BEN PEKU GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0618","BEN ROLOK GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0143","BENG GOVERNMENT PRIMARY SCHOOL","Available","50","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0194","BENGTHANGSING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0114","BERING GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","5","Available","Not Available","0","Not Available","Not Available"
"S0622","BERMIOK DALEP GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0708","BERMIOK DARAGAON GOVERNMENT JUNIOR HIGH SCHOOL","Available","28","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0270","BERMIOK MARTAM GOVERNMENT SECONDARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0657","BERMIOK PASSI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Available","Not Available"
"S0617","BERMIOK THANGSING GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","4","Available","Available","1","Not Available","Available"
"S0397","BERMIOK TOKAL GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","1","Available","Available","0","Not Available","Not Available"
"S0818","BETHANY EDUCATIONAL INSTITUE","Not Available","0","Available","1","Not Available","Available","1","Not Available","Available"
"S0819","BETHANY SCHOOL, KAZITAR NAMCHI","Not Available","0","Not Available","0","Not Available","Available","1","Available","Available"
"S1485","BETHEL ACADEMY, MULUKEY, EAST","Available","20","Available","1","Available","Available","1","Not Available","Not Available"
"S0829","BETHEL ACADEMY, NAMCHI","Available","100","Available","2","Available","Available","1","Available","Available"
"S0874","BETHEL ENGLISH SCHOOL, PARAKHA","Not Available","0","Available","1","Not Available","Not Available","0","Not Available","Not Available"
"S1392","BETHEL ENGLISH SCHOOL, RAVANGLA","Available","13","Not Available","0","Available","Available","1","Not Available","Available"
"S1119","BETHESDA ACADEMY, MAKHA","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0585","BEYONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","0","Not Available","Available","1","Not Available","Not Available"
"S0603","BHAISALGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0449","BHALUKHOP GOVERNMENT PRIMARY SCHOOL (S)","Available","150","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0707","BHALUKHOP GOVERNMENT PRIMARY SCHOOL (W)","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0732","BHANJYANG DARA GOVERNMENT PRIMARY SCHOOL","Available","31","Available","0","Available","Not Available","0","Not Available","Not Available"
"S0441","BHANJYANG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0674","BHARENG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","0","Available","Available","1","Not Available","Not Available"
"S0247","BHASMEY GOVERNMENT JUNIOR HIGH SCHOOL","Available","222","Available","5","Available","Available","1","Not Available","Not Available"
"S0130","BHIRKUNA GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0220","BHUSUK GOVERNMENT JUNIOR HIGH SCHOOL","Available","30","Available","4","Not Available","Available","1","Not Available","Available"
"S0735","BIGYANI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0654","BIKMAT GOVERNMENT SECONDARY SCHOOL","Available","200","Available","4","Available","Available","1","Not Available","Not Available"
"S0188","BIRASPATI PARSAI GOVERNMENT SENIOR SECONDARY SCHOOL","Available","800","Available","4","Available","Available","1","Not Available","Not Available"
"S0520","BIRDANG GOVERNMENT JUNIOR HIGH SCHOOL","Available","93","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0048","BITCHU GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","3","Not Available","Not Available"
"S1262","BLISS ACADEMY, BARA SAMDONG","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S1090","BLOOM ACADEMY , CHAKUNG","Available","600","Available","1","Not Available","Available","1","Not Available","Available"
"S1112","BLOOMING BUDS ACADEMY, KOPCHEY SUDUNGLAKHA","Available","10","Not Available","0","Available","Not Available","0","Not Available","Not Available"
"S0931","BLOSSOM SCHOOL, RAWTEY RUMTEK","Available","200","Not Available","0","Not Available","Available","1","Available","Available"
"S1121","BLUE BIRD ACADEMY, SINGBEL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0257","BOJOGHARI GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Not Available","0","Not Available","Available","2","Not Available","Available"
"S0263","BONGTEN GOVERNMENT SECONDARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S0312","BOOM MELLI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0736","BOOM RESHI GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0726","BOOM RINCHENPONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0034","BOP GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0286","BORBOTAY GOVERNMENT PRIMARY SCHOOL (W)","Available","31","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0611","BORBOTEY GOVERNMENT PRIMARY SCHOOL (S)","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0509","BORDANG GOVERNMENT JUNIOR HIGH SCHOOL","Available","100","Available","4","Available","Available","1","Not Available","Not Available"
"S0522","BORONG DHARGOAN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0523","BORONG GOVERNMENT SECONDARY SCHOOL","Available","0","Available","6","Available","Available","1","Not Available","Available"
"S0688","BORONG SUNTALEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0924","BOSKO ENGLISH SCHOOL,LINGTAM DIKLING","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0672","BOUCHEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S1379","BRIGHT LIFE ACADEMY, SAKYONG","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S1183","BRIGHT LIFE ENGLISH SCHOOL, TEMI","Not Available","0","Available","1","Not Available","Available","1","Not Available","Not Available"
"S0036","BRINGBONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0518","BUDANG GOVERNMENT JUNIOR HIGH SCHOOL (W)","Available","31","Available","5","Available","Available","1","Not Available","Not Available"
"S0169","BUDANG GOVERNMENT PRIMARY SCHOOL (E)","Available","100","Available","2","Available","Available","1","Not Available","Not Available"
"S0731","BUKSOM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0443","BUL GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0342","BULLUNG GOVERNMENT PRIMARY SCHOOL","Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0504","BURTUK GOVERNMENT JUNIOR HIGH SCHOOL","Available","250","Available","5","Available","Available","1","Not Available","Not Available"
"S0421","BURUL GOVERNMENT SECONDARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S0703","BURUL SINGTAM GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","1","Available","Available","1","Not Available","Not Available"
"S0119","BURUNG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0311","BYADONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0659","C.M.RAI GOVERNMENT SECONDARY SCHOOL (OMCHU)","Available","0","Available","7","Available","Available","1","Not Available","Not Available"
"S1212","CANAAN SCHOOL, RANIPOOL","Not Available","0","Available","3","Not Available","Not Available","0","Not Available","Not Available"
"S0847","CANARY BIRD ACADEMY, KARTOK","Not Available","0","Available","2","Available","Available","1","Available","Available"
"C1337","CARMEL TEACHER TRAINING INSTITUTE","Available","0","Available","0","Available","Available","0","Not Available","Available"
"S1046","CAROL ACADEMY, YANGSUM UPPER BERFOK","Available","120","Available","1","Not Available","Available","2","Available","Available"
"S0326","CENTRAL MARTAM GOVERNMENT JUNIOR SCHOOL","Available","566","Available","3","Available","Available","1","Not Available","Not Available"
"S0087","CENTRAL PATUK GOVERNMENT PRIMARY SCHOOL","Available","20","Available","2","Available","Available","1","Not Available","Not Available"
"S0099","CENTRAL PENDAM GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","2","Not Available","Available"
"S0848","CENTRAL POINT ACADEMY, CENTRAL PENDAM","Available","500","Available","1","Not Available","Available","1","Available","Available"
"S1010","CENTRAL SCHOOL FOR TIBETAN , RAVANGLA","Not Available","0","Available","8","Not Available","Not Available","0","Not Available","Available"
"C1347","CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT)","Available","10461","Available","0","Available","Available","0","Available","Available"
"S0536","CHAKUNG GOVERNMENT SENIOR SECONDARY SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0620","CHALLAMTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Not Available"
"S0180","CHANDANEY GOVERNMENT PRIMARY SCHOOL","Available","45","Available","2","Available","Available","1","Not Available","Not Available"
"S0678","CHANDRA MAN RAI GOVERNMENT SECONDARY SCHOOL (JARRONG)","Available","239","Available","6","Available","Available","1","Not Available","Available"
"S0351","CHANGEY GOVERNMENT PRIMARY SCHOOL","Available","7","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0163","CHANGEYLAKHA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0024","CHATEN GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0217","CHATURSINGH RAI GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Available","4","Not Available","Available","1","Not Available","Not Available"
"S0076","CHAWANG GOVERNMENT PRIMARY SCHOOL","Available","80","Available","1","Available","Not Available","0","Not Available","Not Available"
"S0614","CHEMCHEY GOVERNMENT JUNIOR HIGH SCHOOL","Available","123","Available","2","Available","Available","1","Not Available","Not Available"
"S0190","CHEURIBOTEY GOVERNMENT JUNIOR HIGH SCHOOL (E)","Available","120","Available","3","Available","Available","1","Not Available","Not Available"
"S0378","CHEWRIBOTEY GOVERNMENT PRIMARY SCHOOL (W)","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0604","CHHAMGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Available"
"S1175","CHILDREN WORLD ACADEMY, LINGDONG","Available","50","Available","1","Available","Available","1","Not Available","Not Available"
"S0906","CHILDRENS PREDARATORY SCHOOL, KHAMDONG","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S0909","CHILDRENS WORLD ACADEMY, SANG","Available","60","Not Available","0","Not Available","Available","1","Not Available","Not Available"
"S0747","CHINGTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Available","30","Available","0","Not Available","Available","1","Not Available","Not Available"
"S0206","CHINZEY GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0545","CHITTRAY GOVERNMENT PRIMARY SCHOOL","Available","35","Available","2","Available","Not Available","0","Available","Available"
"S0456","CHIYADARA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0347","CHOJO GOVERNMENT PRIMARY SCHOOL","Available","31","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0214","CHONGAYTAR GOVERNMENT PRIMARY SCHOOL","Available","20","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0285","CHONGZONG GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0345","CHOTA SAMDONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","3","Available","Available","1","Not Available","Not Available"
"S0236","CHUBA GOVERNMENT JUNIOR HIGH SCHOOL (E)","Available","100","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0719","CHUBA GOVERNMENT SECONDARY SCHOOL (S)","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0513","CHUJA MARTAM GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0124","CHUJACHEN GOVERNMENT SENIOR SECONDARY SCHOOL","Available","255","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0154","CHUJACHEN LUNGCHOK GOVERNMENT PRIMARY SCHOOL","Available","80","Available","2","Available","Available","1","Not Available","Not Available"
"S0366","CHUMANG GOVERNMENT PRIMARY SCHOOL","Available","5","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0260","CHUMBONG GOVERNMENT SECONDARY SCHOOL","Not Available","0","Available","5","Not Available","Available","1","Not Available","Not Available"
"S0400","CHUMLOK GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0159","CHUNBHATTI GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S1131","COMMITTEE SCHOOL, LOWER TIKPUR","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
"S1374","D.A.V. PUBLIC SCHOOL, RANGIT NAGAR","Available","3150","Available","3","Available","Available","2","Available","Available"
"S0820","DAFFODILS ACADEMY PURANO NAMCHI","Available","12","Available","1","Not Available","Available","1","Not Available","Available"
"S0940","DAFFODILS HOME SECONDARY SCHOOL, GANGTOK","Available","4500","Available","3","Available","Available","1","Available","Available"
"S0106","DALAPCHAND GOVERNMENT SECONDARY SCHOOL","Available","0","Not Available","0","Available","Available","1","Not Available","Available"
"S0670","DALEP KEWZING GOVERNMENT JUNIOR HIGH SCHOOL","Available","140","Available","4","Available","Available","1","Not Available","Available"
"C1340","DAMBER SINGH COLLEGE","Available","2807","Available","0","Available","Available","0","Available","Available"
"S0241","DAMLAKHA GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0599","DAMTHANG GOVERNMENT SECONDARY SCHOOL","Available","1041","Available","5","Available","Available","1","Not Available","Not Available"
"S0571","DARAKHARKA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0530","DARAMDIN GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","1","Available","Not Available"
"S1132","DARAMDIN PUBLIC SCHOOL","Not Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Available"
"S0541","DARAP GOVERNMENT SENIOR SECONDARY SCHOOL","Available","200","Available","6","Available","Available","1","Not Available","Available"
"S0304","DARAPTHANG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","2","Not Available","Not Available","0","Not Available","Not Available"
"S0658","DARING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Available","1","Not Available","Not Available"
"S0210","DARING LINGZEY GOVERNMENT PRIMARY SCHOOL","Available","12","Available","1","Not Available","Available","1","Not Available","Not Available"
"S1067","DAUGHTERS OF THE CROSS-DON BOSCO SCHOOL, RINCHENPONG","Available","1015","Available","4","Available","Available","1","Available","Available"
"S0944","DAWN ACADEMY, PABYUIK NAITAM","Available","500","Available","2","Not Available","Available","1","Available","Available"
"S0948","DE. NOBILE ACADEMY, ASSAM LINGZEY","Not Available","0","Not Available","0","Not Available","Available","1","Not Available","Available"
"S0434","DENCHUNG GOVERNMENT JUNIOR HIGH SCHOOL","Not Available","0","Available","4","Available","Available","1","Not Available","Not Available"
"S0754","DENTAM GOVERNMENT SENIOR SECONDARY SCHOOL","Available","600","Available","6","Available","Available","1","Not Available","Not Available"
"S0382","DENTAM TAR GOVERNMENT JUNIOR HIGH SCHOOL","Available","42","Available","4","Available","Not Available","0","Not Available","Not Available"
"S1222","DENZONG PEMA CHOELING ACADEMY SS","Available","1200","Available","4","Available","Available","1","Available","Available"
"S0104","DEOLING GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0458","DEORALI GIRLS GOVERNMENT SENIOR SECONDARY SCHOOL","Available","2200","Available","4","Available","Available","3","Not Available","Available"
"S1099","DEWDROPS ACADEMY","Not Available","0","Available","1","Available","Not Available","0","Not Available","Available"
"S0411","DEYTHANG GOVERNMENT JUNIOR HIGH SCHOOL (S)","Available","110","Available","3","Available","Available","1","Not Available","Not Available"
"S0720","DEYTHANG GOVERNMENT JUNIOR HIGH SCHOOL (W)","Not Available","0","Available","0","Available","Available","1","Not Available","Not Available"
"S0748","DHANKUTAY DARA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Not Available"
"S0448","DHARGAON GOVERNMENT PRIMARY SCHOOL","Not Available","0","Not Available","0","Available","Available","1","Not Available","Not Available"
"S0899","DHARMESHWARI SARASWATI VIDHYA NIKETAN, TAREYTHANG","Available","20","Available","2","Not Available","Available","1","Not Available","Not Available"
"S0377","DHUPPIDARA GOVERNMENT PRIMARY SCHOOL","Not Available","0","Available","2","Available","Not Available","0","Not Available","Available"
"S0887","DIAMOND ENGLISH SCHOOL","Available","100","Available","2","Available","Available","1","Not Available","Not Available"
"S0466","DIKCHU GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Available","5","Available","Available","1","Not Available","Not Available"
"S0500","DIKLING GOVERNMENT SENIOR SECONDARY SCHOOL","Available","0","Not Available","0","Available","Available","2","Available","Available"
"S0201","DIPUDARA GOVERNMENT PRIMARY SCHOOL","Available","128","Available","2","Available","Available","1","Not Available","Not Available"
"S1085","DIVYA JYOTI ENGLISH SCHOOL,8th MILE BUDANG","Available","250","Available","1","Available","Available","1","Not Available","Not Available"
"S0872","DIVYA JYOTI SCHOOL, MAJITAR","Available","50","Available","3","Available","Available","1","Available","Available"
"S0457","DOCHUM GOVERNMENT JUNIOR HIGH SCHOOL","Available","0","Not Available","0","Not Available","Not Available","0","Not Available","Not Available"
